laptop_ID,Inches,Ram,Weight,Price_euros,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Screen Width,Screen Height,CPU Frequency,Memory Amount,Memory Type,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,AMD_CPU,Intel_CPU,Samsung_CPU,AMD_GPU,ARM_GPU,Intel_GPU,Nvidia_GPU
39,15.6,4,1.86,488.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.5,1000000,HDD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
40,15.6,8,2.1,879,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.6,256000,SSD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
41,15.6,4,2,389,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2,1000000,HDD,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
42,15.6,16,2.65,1499,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920,1080,2.8,256000,SSD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
43,15.6,8,2.3,522.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.5,1000000,HDD,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
44,15.6,4,2.2,682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.6,256000,SSD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
45,17.3,12,2.77,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1920,1080,1.6,1000000,HDD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
46,13.3,8,1.37,1419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2560,1600,2,256000,SSD,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
47,15.6,4,2.2,369,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2,128000,SSD,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
48,17.3,8,3.2,1299,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920,1080,3,256000,SSD,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
49,15.6,4,2.3,639,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.5,256000,SSD,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
50,17.3,4,2.8,466,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,1.1,1000000,HDD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
51,10.1,4,0.69,319,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1920,1200,1.44,64000,Flash,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52,15.6,8,2.2,841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.8,256000,SSD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
53,15.6,4,1.86,398.49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.5,256000,SSD,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
54,13.3,8,1.49,1103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.8,512000,SSD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
55,15.6,4,2.4,384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.4,1000000,HDD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
